Rank,Title,Year,Duration,Genre,Image
1,Les Évadés,1994,2 h 22 min.,Drame,https://media.senscritique.com/media/000013274439/300/les_evades.png
2,Le Parrain,1972,2 h 55 min.,"Policier, Drame",https://media.senscritique.com/media/000020072264/300/le_parrain.jpg
3,Le Parrain - 2e Partie,1974,3 h 20 min.,"Gangster, Drame",https://media.senscritique.com/media/000012645922/300/le_parrain_2e_partie.jpg
4,Le Parrain - 3e Partie,1990,2 h 42 min.,"Drame, Gangster",https://media.senscritique.com/media/000016589583/300/le_parrain_3e_partie.jpg
5,La Liste de Schindler,1993,3 h 15 min.,"Biopic, Drame, Historique",https://media.senscritique.com/media/000012321891/300/la_liste_de_schindler.jpg
6,Le Seigneur des Anneaux - La Communauté de l'anneau,2001,2 h 58 min.,"Aventure, Fantasy",https://media.senscritique.com/media/000004017708/300/le_seigneur_des_anneaux_la_communaute_de_l_anneau.jpg
7,Le Seigneur des Anneaux - Les Deux Tours,2002,2 h 59 min.,"Aventure, Fantasy",https://media.senscritique.com/media/000019314994/300/le_seigneur_des_anneaux_les_deux_tours.jpg
8,Le Seigneur des Anneaux - Le Retour du roi,2003,3 h 21 min.,"Aventure, Fantasy",https://media.senscritique.com/media/000007087660/300/le_seigneur_des_anneaux_le_retour_du_roi.jpg
9,Pulp Fiction,1994,2 h 34 min.,"Gangster, Comédie",https://media.senscritique.com/media/000012288077/300/pulp_fiction.jpg
10,Fight Club,1999,2 h 19 min.,Drame,https://media.senscritique.com/media/000012359351/300/fight_club.jpg
11,Forrest Gump,1994,2 h 22 min.,"Drame, Romance",https://media.senscritique.com/media/000022091644/300/forrest_gump.png
12,"Le Bon, la Brute et le Truand",1966,2 h 59 min.,"Western, Aventure",https://media.senscritique.com/media/000008032023/300/le_bon_la_brute_et_le_truand.jpg
13,La Guerre des étoiles,1977,2 h 01 min.,"Aventure, Science-fiction, Action",https://media.senscritique.com/media/000021484879/300/la_guerre_des_etoiles.png
14,L'Empire contre-attaque,1980,2 h 04 min.,"Aventure, Science-fiction, Action",https://media.senscritique.com/media/000021495539/300/l_empire_contre_attaque.png
15,Le Retour du Jedi,1983,2 h 14 min.,"Aventure, Science-fiction, Action",https://media.senscritique.com/media/000016407619/300/le_retour_du_jedi.jpg
16,Vol au-dessus d'un nid de coucou,1975,2 h 13 min.,"Drame, Comédie dramatique",https://media.senscritique.com/media/000016145216/300/vol_au_dessus_d_un_nid_de_coucou.jpg
17,Les Affranchis,1990,2 h 26 min.,"Gangster, Biopic",https://media.senscritique.com/media/000008041479/300/les_affranchis.jpg
18,Matrix,1999,2 h 16 min.,"Action, Science-fiction, Arts martiaux",https://media.senscritique.com/media/000021915685/300/matrix.png
19,Matrix Reloaded,2003,2 h 18 min.,"Action, Science-fiction",https://media.senscritique.com/media/000010181662/300/matrix_reloaded.jpg
20,Matrix Revolutions,2003,2 h 09 min.,"Action, Science-fiction, Aventure",https://media.senscritique.com/media/000005649132/300/matrix_revolutions.jpg
21,Titanic,1997,3 h 14 min.,"Drame, Romance, Catastrophe",https://media.senscritique.com/media/000021973040/300/titanic.png
22,Batman Begins,2005,2 h 20 min.,"Action, Aventure, Policier",https://media.senscritique.com/media/000004875094/300/batman_begins.jpg
23,The Dark Knight - Le Chevalier noir,2008,2 h 32 min.,"Action, Policier, Thriller",https://media.senscritique.com/media/000018762557/300/the_dark_knight_le_chevalier_noir.jpg
24,The Dark Knight Rises,2012,2 h 44 min.,"Action, Policier, Thriller",https://media.senscritique.com/media/000004874820/300/the_dark_knight_rises.jpg
25,Seven,1995,2 h 07 min.,"Policier, Thriller",https://media.senscritique.com/media/000012353656/300/seven.jpg
26,La Cité de Dieu,2002,2 h 10 min.,"Drame, Gangster",https://media.senscritique.com/media/000019039867/300/la_cite_de_dieu.jpg
27,Le Silence des agneaux,1991,1 h 58 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000004876963/300/le_silence_des_agneaux.jpg
28,La vie est belle,1946,2 h 10 min.,"Drame, Fantastique",https://media.senscritique.com/media/000020076080/300/la_vie_est_belle.jpg
29,Douze Hommes en colère,1957,1 h 36 min.,"Policier, Drame",https://media.senscritique.com/media/000017381024/300/douze_hommes_en_colere.jpg
30,12 hommes en colère,1997,1 h 57 min.,"Drame, Policier",https://media.senscritique.com/media/000019813451/300/12_hommes_en_colere.jpg
31,Il faut sauver le soldat Ryan,1998,2 h 49 min.,"Guerre, Drame",https://media.senscritique.com/media/000008269224/300/il_faut_sauver_le_soldat_ryan.jpg
32,Usual Suspects,1995,1 h 46 min.,"Policier, Thriller",https://media.senscritique.com/media/000004888256/300/usual_suspects.jpg
33,Léon,1994,1 h 50 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000004675233/300/leon.jpg
34,La Ligne verte,1999,3 h 09 min.,"Drame, Fantastique",https://media.senscritique.com/media/000009568130/300/la_ligne_verte.jpg
35,Interstellar,2014,2 h 49 min.,"Science-fiction, Drame, Aventure",https://media.senscritique.com/media/000018762465/300/interstellar.jpg
36,Psychose,1960,1 h 49 min.,Thriller,https://media.senscritique.com/media/000015172714/300/psychose.jpg
37,American History X,1998,1 h 59 min.,"Policier, Drame",https://media.senscritique.com/media/000012223258/300/american_history_x.jpg
38,Les Lumières de la ville,1931,1 h 27 min.,"Comédie dramatique, Romance, Muet",https://media.senscritique.com/media/000000170653/300/les_lumieres_de_la_ville.jpg
39,Inception,2010,2 h 28 min.,"Action, Thriller, Science-fiction",https://media.senscritique.com/media/000004710747/300/inception.jpg
40,Il était une fois dans l'Ouest,1968,2 h 55 min.,Western,https://media.senscritique.com/media/000012461293/300/il_etait_une_fois_dans_l_ouest.jpg
41,Le Pianiste,2002,2 h 30 min.,"Biopic, Drame, Guerre",https://media.senscritique.com/media/000014724041/300/le_pianiste.jpg
42,Les Temps modernes,1936,1 h 27 min.,"Comédie dramatique, Muet",https://media.senscritique.com/media/000011614087/300/les_temps_modernes.jpg
43,Les Infiltrés,2006,2 h 31 min.,"Gangster, Thriller, Policier",https://media.senscritique.com/media/000000041153/300/les_infiltres.jpg
44,Retour vers le futur,1985,1 h 56 min.,"Comédie, Science-fiction",https://media.senscritique.com/media/000012222742/300/retour_vers_le_futur.jpg
45,Retour vers le futur 2,1989,1 h 48 min.,"Comédie, Science-fiction, Aventure",https://media.senscritique.com/media/000009576077/300/retour_vers_le_futur_2.jpg
46,Retour vers le futur 3,1990,1 h 58 min.,"Comédie, Science-fiction, Aventure",https://media.senscritique.com/media/000009576149/300/retour_vers_le_futur_3.jpg
47,Intouchables,2011,1 h 52 min.,"Biopic, Comédie dramatique",https://media.senscritique.com/media/000004674748/300/intouchables.jpg
48,Terminator,1984,1 h 47 min.,"Action, Science-fiction, Épouvante-Horreur",https://media.senscritique.com/media/000021439241/300/terminator.png
49,Terminator 2 - Le Jugement dernier,1991,2 h 17 min.,"Action, Science-fiction, Thriller",https://media.senscritique.com/media/000009494983/300/terminator_2_le_jugement_dernier.png
50,Le Roi Lion,1994,1 h 29 min.,"Animation, Aventure, Drame",https://media.senscritique.com/media/000013958878/300/le_roi_lion.jpg
51,Whiplash,2014,1 h 47 min.,"Drame, Musique",https://media.senscritique.com/media/000007496942/300/whiplash.jpg
52,Fenêtre sur cour,1954,1 h 52 min.,Thriller,https://media.senscritique.com/media/000013843742/300/fenetre_sur_cour.jpg
53,Gladiator,2000,2 h 35 min.,"Péplum, Aventure, Drame",https://media.senscritique.com/media/000012334489/300/gladiator.jpg
54,Les Aventuriers de l'arche perdue,1981,1 h 55 min.,"Aventure, Action",https://media.senscritique.com/media/000007369287/300/les_aventuriers_de_l_arche_perdue.jpg
55,Indiana Jones et le Temple maudit,1984,1 h 58 min.,"Aventure, Action",https://media.senscritique.com/media/000021439228/300/indiana_jones_et_le_temple_maudit.png
56,Indiana Jones et la Dernière Croisade,1989,2 h 07 min.,"Aventure, Action",https://media.senscritique.com/media/000009674397/300/indiana_jones_et_la_derniere_croisade.jpg
57,Le Prestige,2006,2 h 10 min.,"Drame, Thriller",https://media.senscritique.com/media/000004699879/300/le_prestige.jpg
58,Apocalypse Now,1979,2 h 27 min.,"Drame, Guerre",https://media.senscritique.com/media/000012235164/300/apocalypse_now.jpg
59,Memento,2000,1 h 53 min.,Thriller,https://media.senscritique.com/media/000017377928/300/memento.jpg
60,Alien - Le 8ème Passager,1979,1 h 57 min.,"Épouvante-Horreur, Science-fiction",https://media.senscritique.com/media/000006886214/300/alien_le_8eme_passager.jpg
61,"Aliens, le retour",1986,2 h 17 min.,"Action, Science-fiction, Épouvante-Horreur",https://media.senscritique.com/media/000004705980/300/aliens_le_retour.jpg
62,Alien³,1992,1 h 54 min.,"Science-fiction, Épouvante-Horreur",https://media.senscritique.com/media/000008632186/300/alien3.jpg
63,Le Tombeau des lucioles,1988,1 h 29 min.,"Animation, Drame, Guerre",https://media.senscritique.com/media/000020033931/300/le_tombeau_des_lucioles.jpg
64,Parasite,2019,2 h 12 min.,"Drame, Thriller, Comédie",https://media.senscritique.com/media/000021900167/300/parasite.png
65,Le Dictateur,1940,2 h 05 min.,"Comédie dramatique, Guerre",https://media.senscritique.com/media/000019149338/300/le_dictateur.jpg
66,Boulevard du crépuscule,1950,1 h 50 min.,Film noir,https://media.senscritique.com/media/000019179324/300/boulevard_du_crepuscule.jpg
67,La Vie des autres,2006,2 h 17 min.,"Drame, Thriller, Historique",https://media.senscritique.com/media/000019230789/300/la_vie_des_autres.jpg
68,Docteur Folamour,1964,1 h 35 min.,Comédie,https://media.senscritique.com/media/000013917997/300/docteur_folamour.png
69,Les Sentiers de la gloire,1957,1 h 28 min.,"Drame, Guerre",https://media.senscritique.com/media/000012494951/300/les_sentiers_de_la_gloire.jpg
70,Django Unchained,2012,2 h 45 min.,Western,https://media.senscritique.com/media/000013924487/300/django_unchained.jpg
71,Shining,1980,1 h 59 min.,"Épouvante-Horreur, Thriller",https://media.senscritique.com/media/000019629004/300/shining.jpg
72,Wall-E,2008,1 h 38 min.,"Animation, Aventure, Science-fiction",https://media.senscritique.com/media/000006424588/300/wall_e.jpg
73,Princesse Mononoké,1997,2 h 14 min.,"Animation, Aventure, Fantasy",https://media.senscritique.com/media/000020028877/300/princesse_mononoke.jpg
74,Témoin à charge,1957,1 h 56 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000008699764/300/temoin_a_charge.jpg
75,Old Boy,2003,2 h.,"Drame, Thriller, Film noir",https://media.senscritique.com/media/000015162373/300/old_boy.jpg
76,Casablanca,1942,1 h 42 min.,"Drame, Romance, Guerre",https://media.senscritique.com/media/000013843046/300/casablanca.jpg
77,American Beauty,1999,2 h 02 min.,Drame,https://media.senscritique.com/media/000012536800/300/american_beauty.jpg
78,Il était une fois en Amérique,1984,3 h 49 min.,"Drame, Gangster",https://media.senscritique.com/media/000020028882/300/il_etait_une_fois_en_amerique.jpg
79,Les Sept Samouraïs,1954,3 h 27 min.,"Arts martiaux, Aventure, Drame",https://media.senscritique.com/media/000022149873/300/les_sept_samourais.jpg
80,Le Bateau,1981,2 h 29 min.,"Aventure, Drame, Thriller",https://media.senscritique.com/media/000019826318/300/le_bateau.jpg
81,Lost in Translation,2003,1 h 41 min.,"Drame, Comédie romantique",https://media.senscritique.com/media/000006098072/300/lost_in_translation.jpg
82,Braveheart,1995,2 h 57 min.,"Biopic, Drame, Historique",https://media.senscritique.com/media/000012318304/300/braveheart.jpg
83,Sueurs froides,1958,2 h 08 min.,"Romance, Thriller, Film noir",https://media.senscritique.com/media/000004888043/300/sueurs_froides.jpg
